,roll_thick,roll_width,corect_length,tcrop,hcrop,roll_length,len_crop,,,,,,,,,,,,,,i_length_slot,,,,,,,,,,,,,,,,,,,,,,,,,,,d_cut_width_i,
MC8000009084,35,2200,22000,0,0,23000,1000,0,0,395,2000,2287,93.783,93.78,93.78,0,0,A1,T,M,2,2287,2287,14.183,14.183,14.183,395,2000,2287,2287,2287,14.18,14.183,14.183,2287,14.18,0,395,2000,0,0,34.75,2260,14.179,0.8,-0.8,L,0,0
MC8000009083,35,2200,22000,0,0,23000,1000,0,0,395,2000,2287,93.783,93.78,93.78,0,0,A1,T,M,2,2287,2287,14.183,14.183,14.183,395,2000,2287,2287,2287,14.18,14.183,14.183,2287,14.18,0,395,2000,0,0,34.75,2260,14.179,0.8,-0.8,L,0,0
MC8000009079,30,2200,25400,0,0,26520,1120,0,0,395,2000,2258,94.018,94.013,94.02,0,0,A1,T,M,3,2258,2258,14.003,14.003,14.003,395,2000,2258,2258,2258,13.997,14.003,14.003,2258,13.997,0,395,2000,0,0,29.75,2260,13.997,0.8,-0.8,L,0,0
MC8000009078,30,2200,26700,0,0,27920,1220,0,0,395,2000,2377,93.874,93.872,93.872,0,0,A1,T,M,3,2377,2377,14.741,14.741,14.741,395,2000,2377,2377,2377,14.736,14.741,14.741,2377,14.736,0,395,2000,0,0,29.75,2260,14.736,0.8,-0.8,L,0,0
MC8000009076,40,2200,25734,0,0,26854,1120,0,0,395,2000,3054,93.872,93.874,93.874,0,0,A1,C,M,3,3054,3054,18.939,18.939,18.939,395,2000,3054,3054,3054,18.937,18.939,18.939,3054,18.937,0,395,2000,0,0,39.75,2260,18.938,0.8,-0.8,L,0,0
MC8000009075,120,2200,8300,0,0,8700,400,0,0,395,2000,2975,93.258,93.256,93.256,0,0,A1,C,M,1,2975,2975,18.449,18.449,18.449,395,2000,2975,2975,2975,18.445,18.449,18.449,2975,18.445,0,395,2000,0,0,119.5,2260,18.444,1.4,-1.4,L,0,0
MC8000009074,40,2500,24000,0,0,25100,1100,0,1,395,2000,3234,93.964,93.965,93.965,0,0,A1,T,M,2,3234,3234,20.056,20.056,20.056,395,2000,3234,3234,3234,20.05,20.056,20.056,3234,20.05,0,395,2000,0,0,39.75,2560,20.05,0.8,-0.8,L,0,0
MC8000009073,230,2200,6205,0,0,6485,280,0,0,395,2200,3869,93.386,93.385,93.385,0,0,A1,T,M,1,3869,3869,26.393,26.393,26.393,395,2200,3869,3869,3869,26.393,26.393,26.393,3869,26.393,0,395,2200,0,0,229.4,2260,26.393,1.8,-1.8,L,0,0
MC8000009072,90,2200,8500,0,0,8900,400,0,0,395,2000,2282,93.385,93.384,93.384,0,0,A1,T,M,1,2282,2282,14.152,14.152,14.152,395,2000,2282,2282,2282,14.148,14.152,14.152,2282,14.148,0,395,2000,0,0,89.6,2260,14.147,1.1,-1.1,L,0,0
MC8000009071,320,2200,4200,0,0,4400,200,0,0,395,2000,4018,93.153,93.153,93.153,0,0,A1,C,M,1,4018,4018,24.918,24.918,24.918,395,2000,4018,4018,4018,24.917,24.918,24.918,4018,24.917,0,395,2000,0,0,319.2,2260,24.917,2.2,-2.2,L,0,0
